"","obsNr","state","year","privat_capital","street_capital","water_capital","utility_capital","public_capital","state_product","employment","unemployment_rate"
"120",120,"FLORIDA",1970,29696.86,12622.3,4174.89,12899.67,57178.05,69641,2152.1,4.4
"121",121,"FLORIDA",1971,30683.09,12873.62,4282.97,13526.49,60238.01,73170,2276.4,4.9
"122",122,"FLORIDA",1972,32089.12,13424.21,4318.05,14346.86,62873.97,81313,2513.1,4.5
"123",123,"FLORIDA",1973,33480.99,13999.7,4268.38,15212.91,66432.27,90897,2778.6,4.3
"124",124,"FLORIDA",1974,34650.29,14586.91,4281.73,15781.65,70452.68,92163,2863.8,6.2
"125",125,"FLORIDA",1975,36103.75,15075.13,4446.11,16582.51,73809.64,89502,2746.4,11
"126",126,"FLORIDA",1976,37942.61,15538.54,4726.01,17678.06,87196.5,90957,2784.3,9
"127",127,"FLORIDA",1977,39393.89,15790.7,5404.47,18198.72,88699.63,95449,2933.2,8.2
"128",128,"FLORIDA",1978,40859.4,15985.09,6123.84,18750.48,91517.51,103064,3180.6,6.6
"129",129,"FLORIDA",1979,42107.13,16220.82,6625.71,19260.59,95108.5,109121,3381.2,6
"130",130,"FLORIDA",1980,43192.98,16457.76,6998.35,19736.88,99248.64,113857,3576.2,5.9
"131",131,"FLORIDA",1981,44311.68,16724.87,7430.67,20156.15,108486.86,118145,3736,6.8
"132",132,"FLORIDA",1982,45492,16952.95,7814.59,20724.45,111867.96,118301,3761.9,8.2
"133",133,"FLORIDA",1983,47116.82,17282.36,8183.58,21650.87,113951.55,126322,3905.4,8.6
"134",134,"FLORIDA",1984,48538.98,17597.76,8483.89,22457.33,116417.2,136572,4204.2,6.3
"135",135,"FLORIDA",1985,50336.63,17888.08,8767.52,23681.04,120719.68,145171,4410,6
"136",136,"FLORIDA",1986,52309.37,18290.06,9172.05,24847.26,135673.02,152269,4599.4,5.7
